Catégorie	Auteur	Titre français normalisé	Autres titres français	Titre latin	Titre syriaque normalisé	Incipit syriaque	Identifiant dans une clavis	cote catalogue et notes personnelles
		Martyre d'Onésime, disciple de Paul 					Éd. AMS VI, p. 18-31 (à partir de Add. 12174) ; BHO 817.  	Add. 12174
Hagio. 		Martyrs exécutés par des gouverneurs en différent endroits, exceptés ceux qui moururent dans le Palais du roi					Éd. AMS, 1891, vol. 2,  p. 303-306 ; BHO 711.  	Vat. sir. 161
NT		Matthieu						Firenze BML Or. 425
Litur. 		Mélodies de prière ? 						183, 4
		Memra						Paris BnF syr. 422
		Memra  						Paris BnF syr. 377, 8
Hom. 		Memra sur Abhay et les martyrs sous l'empereur Théodose 						177, 4/k (non identifié, mais l'incipit ressemble à Saroug n° 96 sur les martyrs de Sébastes)
Hom. 		Memra sur Jacques de Saroug  						177, 4/m (auteur anonyme du 12e s.)
		Memra sur Job (dans le mètre de Jacques de Saroug)						Paris BnF syr. 389 (B)
		Memra sur Job (dans le mètre d'Ephrem)						Paris BnF syr. 377, 10
		Memra sur la confession et la pénitence				ܒܣܡ ܐܠܐܒ ... ܐܣܡܥܘܐ ܝܐ ܐܟܘܗ ܝܐ ܡܒܐܪܟܝܢ ܝܐ ܨܐܝܡܝܢ ܝܐ ܡܨܠܝܝܢ ܝܐ ܪܚܘܡܝܢ		194
Hom. 		Memra sur la parole de Salomon relative aux deux poignées de vent (Eccl 4, 6)						197, 12
Hom. 		Memra sur la pauvreté et l'aumône						197, 18 ; 215, 6 
Hom. 		Memra sur la vie des saints pères Macaire, Maxime et Domèce, Jean le jeune et Bišoy 						177, 4/b
Hom. 		Memra sur la vie solitaire 						197, 17 ; 215, 5 
		Memra sur le carême				ܘܐܥܠܡ ܡܚܒܬܟܡ ܝܐ ܐܟܘܗ ܐܢ ܗܕܐ ܐܠܨܘܡ ܐܠܡܩܕܝܣ ܪܬܒܘܗ		198 (garsh.)
		Memra sur le jeûne, d'après les Pères du concile de Nicée				ܒܣܡ ܐܠܐܒ ... ܐܝܗܐ ܐܠܟܼܘܗ ܐܠܣܐܡܥܝܢ ܐܢ ܗܕܐ ܗܘ ܐܠܨܘܡ		194
		Memra sur le meurtre d'Urie 						Paris BnF syr. 377, 17
		Memra sur le remords 						Paris BnF syr. 377, 7 
Hom. 		Memra sur le roi Salomon 				ܐܥܬܕ ܟܢܪܝ ܡܪܝ ܘܐܠܗܝ ܘܗܒ ܠܝ ܡܠܬܐ ܕܐܡܠܠ		197, 1 
Hom. 		Memra sur les solitaires 				ܫܡܝܐ ܡܫܬܥܝܢ ܫܘܗ̄ ܕܐܠܗܐ ܐܟܡܐ ܕܟܬܝܒ		197, 13 ; 215, 7 
		Memra sur les solitaires et les anachorètes				ܒܗܢ ܝܘܡܐ ܝܚܝܕܝܐ ܕܐܬܢܚܡ ܒܗ ܝܚܝܕܐ		215, 8
Hom. 		Memra sur les trente pièces d'argent de Judas Iscariote 				ܗܢܘܢ ܙܘ̈ܙܐ ܕܫܩܠ ܝܗܘܕܐ ܡܢ ܟܗ̈ܢܐ ܕܝܘ̈ܕܝܐ 	Pour un résumé de cette histoire cf. DUVAL, 1892, p. 105-106.  	Paris BnF syr. 197, 11 ; 215, 11 ; 309. 
		Memra sur l'insuffisance de la pluie						Paris BnF syr. 422
		Memra sur Philoxène de Mabboug						Paris BnF syr. 377, 21
Litur. 		Ménées 						128, 3 (extraits) ; 133 (pour le mois de iloul et de techrin premier - septembre et octobre); 134 ; 135 ;136 ; 137 ; 138 ; 139 ; 140 ; 141 ; 142 ; 
		Ménologe melkite du mois de juin						Paris BnF syr. 338
AT		Michée						
		Miracle de Michel à Colosses					Éd. NAU, PO 4, 5, 1907, III, p. 542-562.	Paris BnF syr. 388
Hagio. 		Miracles de la Vierge 					GCAL I, 252	232, 15 (garshuni)
Apoc. 		Mort de Jean 		Dormitio Iohannis 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 46-51 (texte), p. 54-59 (trad.) ; CANT 215.II ; BHO 477-479. Pour le syriaque : Éd. / Trad. WRIGHT, Apoc. Acts, 1871, vol. 1, p. 66-72 (texte d'après Add. 12174), vol. 2, p. 61-68 (trad.) ; CANT 215.II ; BHO 475.  	232, 7/j (garshuni) ; Add. 12174
AT		Nahum						
AT		Néhémie						
AT		Nombres						
		Note sur le lieu et la date de composition des Évangiles						Paris BnF syr. 428
		Notice sur l'âme séparée du corps						Berlin syr. 74, 1
		Notice sur Sheik Adi des Yézidis						Paris BnF syr. 420
NT		Nouveau Testament selon la version Peshitta avec tradution en garshuni						Firenze BML Or. 004
Litur.		Octoèque	Paraclitique					127, 1
Litur.		Office						25, 4-9 (à détailler en commentaire) ;  70, 6 ; 71, 1  
Litur. 		Office des jours de la semaine 						185
		Office des martyrs Marcellin et Pierre						Aix 1372, II
Litur. 		Office des morts selon le rite jacobite	Rituel de l'extrême-onction selon le rite jacobite 					121, 122
Litur. 		Office des prières pour un malade 	Office des agonisants ? 					180, 5 : ce n'est pas une partie du rite d'extrême-onction ? + 186, 2/g
Litur. 		Office pour les heures canoniques des jours de la semaine						145, 1 ; 146, 1
		Offices du soir pour certaines fêtes, selon le rite maronite						Aix 1372, I
		Onirokritikon					Éd./ Trad. : FURLANI, "Une clé des songes", 1921, p. 118-144 (texte syriaque et traduction française) et p. 225-248 (texte syriaque et traduction française) [BL Or. 4434].	Téhéran Issayi 18, 2
Litur.		Ordre de la messe	 Missel 		ܟܬܒܐ ܕܩܘܪܒܐ ܇ ܟܬܒܐ ܕܩܘܕܫܐ ܇ ܛܟܣܐ ܕܩܘܪܒܐ			88, 1 ; 93, 2 en commentaire, dire si c'est selon le rite chaldéen, etc… ? 75, 1 + 186, 2/m
		Paraphrase de Dt 24						Téhéran Issayi 18, 5
		Paroles profitables						Paris BnF syr. 434, II
		Partie du rituel					Rituel de consécration d'autel sans huile, connu dans plusieurs manuscrits liturgiques nestoriens.	Téhéran Issayi 18, 19 
Litur.		Pentecostaire						132
		Péricope du livre des Juges : Samson					Jg 13-16	Téhéran Issayi 18, 16 
NT		Philémon						
NT		Philippiens						
		Poème métrique sur la protase						Paris BnF syr. 426
Apoc. 		Prédication d'André		Acta Andreae et Philemonis			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 2-11 (texte), p. 1-10 (trad.) ; CANT 240 ; BHO 48.	232, 7/d (garshuni)
Apoc. 		Prédication de Barthélémy 		Bartholomaei et Petri praedicatio in Oasi 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 58-64 (texte), p. 69-75 (trad.) ;CANT 261 ; BHO 152.	232, 7/m (garshuni)
Apoc. 		Prédication de Philippe et Pierre					Pour le garshuni : cf. CANT 252 et BHO 977 renvoyant à éd. / trad. (texte arabe) de SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 51-55 (texte), p. 60-65 (trad.). 	232, 7/k (garshuni)
Apoc. 		Prédication de Pierre à Rome 		Praedicatio Petri 			CANT 202 ; BHO 938 ; pour le garshuni du 232, d'après l'incipit, il s'agit d'un texte différent de CANT 202 et BHO 938.	232, 7/x (garshuni)
		Préface à l'Apocalypse de Paul					Trad. : DESREUMAUX, " La préface", 1993, p. 69-75 (d'après Téhéran Issayi 18)..	Téhéran Issayi 18, 13
		Première histoire au sujet de l'invention de la Croix par Protonice					Éd. NESTLE, Brevis linguae, 1881, p. ܣܐ-ܣܘ d'après Add. 12174 ; BHO 211 ; SS 355. 	Paris BnF syr. 234, 35 ; 309 ; 326 ; Damas 12/17, 51a ; Add. 12174
		Première vie d'Aristote					Cf. SACHAU, 1899, I, p. 335-336.	Paris BnF syr. 354
		Prère pour la consécration de l'eau impure						Paris BnF syr. 434, III
		Prière 						Paris BnF syr. 377, 26
Litur. 		Prière d'absolution 						
		Prière de confession de la foi						Paris BnF syr. 434, III
		Prière pour les malades						Paris BnF syr. 377, 24
		Prière pour un autel foulé aux pieds et souillé						Paris BnF syr. 377, 25
Litur. 		Prières 						24 : sert à saisir toutes les prières en taggant le nom de l'auteur présumé ; 70, 7
Litur. 		Prières des heures 						111, 3
Litur.		Prières funèbres 						121, 1 ; 123, 2 
Litur. 		Prières pénitentielles 						108, 2 ; 111, 2 à 6 ; 224, 9 
Litur. 		Prières pour les sept jours de la semaine 						180, 2
Litur.		Prières pour les vêpres 						144, 3
Litur. 		Proemion						72, 11 par Jacques d'Edesse
Litur. 		Profession de foi						100, 6
		Profession de foi des Dasenites sous forme de questions et réponses						Paris BnF syr. 420
		Profession de foi des Douze Apôtres						Paris BnF syr. 434, III
		Pronostics météorologiques et astronomiques						Paris BnF syr. 340
Apoc. 		Protoévangile de Jacques 		Protoeuangelium Iacobi 			CANT 50 	232, 8 (garshuni)
AT		Proverbes						
AT		Psaumes						(Dont le psaume 151… à préciser en commentaire)
Litur. 		Psaumes et prières pour les heures canoniques 						178, 1
Litur. 		Psautier 						149, 6 : kathistmata et antiphona
Patr. ? 		Questions-réponses de Basile et Grégoire 						194, 10 ; 198, 10 
Canon. 		Questions-réponses des saints Pères  	Canons des saints Pères				Trad. NAU, ROC 14, 1909, p. 39-48 , Trad. NAU, ROC 14, 1909, p. 113-115. Trad. NAU, ROC 14, 1909, p. 115-116.	62, n° 34 et 37 et 38 et 40 ; cf. F. Nau : réponses d'évêques jacobites exilés à Alexandrie (34) 
		Questions et réponses entre un maître et son disciple, relatives au sacrement de la confession						198
		Récit de la mort de la Vierge et la venue des apôtres						Paris BnF syr. 377, 14
		Récit de la mort de Théodose de Jérusalem  					Éd. / Trad. BROOKS, Vitae virorum, 1907, p. 21-27 (texte) (d'après Add. 12174 et Berlin 321), et p. 15-19 (trad. latine) ; BHO 1178. 	Add. 12174
Hagio. 		Récit de la mort des trois patriarches Abraham, Isḥaq et Ya’qub						Vat. sir. 199
		Récit de l'apparaition de la Vierge à un ermite de Scété						Paris BnF syr. 377, 13
Litur.		Recueil d'anaphores 						82, 4 
Litur. 		Recueil d'antiphones pour toute l'année	Canons grecs 					154 ; 155 ; 156 ; 157, 1 ; 178, 2
		Recueil de synodes orientaux						Paris BnF syr. 332
		Règles monastiques tirées d'ouvrages de différents Pères						215
		Réfutation du délateur à propos des fruits des actes corrompus						Paris BnF syr. 434, II
		Révélation d'Étienne 					Éd. AMS, 1892, vol. 3, p. 188-199.  	Paris BnF syr. 295
Litur. 		Rite d'absolution	Rite de la confession et de la pénitence 					111, 2 (contient le rite de la confession)
Litur. 		Rite de bénédiction de l'eau lustrale 						186, 2/j
Litur. 		Rite de bénédiction des branches d'oliviers pour le dimanche des Rameaux 						113, 5 (le dimanche des rameaux)
Litur. 		Rite de bénédiction des cendres pour le mercredi des Cendres 						186, 2/h
Litur. 		Rite de bénédiction des eaux baptismales pour le jour de l'Epiphanie 						163, 1
Litur. 		Rite de bénédiction des ornements et vases d'autel						120, 16
Litur. 		Rite de bénédiction d'un baptistère						120, 15
Litur. 		Rite de consécration de la sainte table 						110, 29 
Litur. 		Rite de consécration des ustensils 						82, 9 
Litur.		Rite de consécration du saint chrême	Consécration du myron					112, 3 (précédé d'une note sur sa préparation ex. 112, 5 et 18)
Litur. 		Rite de consécration d'un autel 						114, 9 (à la fin du mss.)
Litur. 		Rite de consécration d'une église	Dédicace d'une église					110, 30 et 112, 1-2  
Litur. 		Rite de la confection du ṭaybūto						183, 3
Litur. 		Rite de la fin du carême 						162, 1 ; 163, 3
Litur.		Rite de la génuflexion pour le dimanche de Pentecôte						100, 17
Litur.		Rite de la tonsure						110, 4 (moines) ; 110, 7 (religieuses)
Litur. 		Rite de l'absolution pour le samedi de l'Annonciation						113, 11
Litur. 		Rite de l'adoration de la croix pour le  saint						113, 10 (le vendredi saint)
Litur.		Rite de l'adoration pour le jour de la Pentecôte						113, 13 (jour de la Pentecôte)
Litur. 		Rite de l'eucharistie 						145, 10
Litur.		Rite de l'extrême-onction 						100, 11 ; 119, 4
Litur.		Rite de l'extrême-onction pour les diacres						125, 2
Litur.		Rite de l'extrême-onction pour les enfants 						122, 4
Litur.		Rite de l'extrême-onction pour les enfants et les jeunes gens  non mariés						125, 3
Litur.		Rite de l'extrême-onction pour les femmes						122, 3
Litur.		Rite de l'extrême-onction pour les hommes 						124, 2
Litur.		Rite de l'extrême-onction pour les jeunes filles 						125, 4
Litur.		Rite de l'extrême-onction pour les laïques						122, 2
Litur. 		Rite de l'extrême-onction pour les prêtres						121, 2 ; 122, 1 
Litur.		Rite de l'extrême-onction pour les prêtres et les évêques						125, 1
Litur. 		Rite de présentation de la femme à l'église après ses couches 						107, 7 et 104, 1 (en carshouni)
Litur. 		Rite de présentation de la femme et de l'enfant à l'église 						116, 3
Litur. 		Rite de procession pour le dimanche des Rameaux 						163, 2
Litur.		Rite des fiançailles 						109, 4
Litur.		Rite d'ordination 						110, 3 ; 110, 9 ? ; 110, 10 = des diacres ; 110, 11 = des prêtres ; 112, 8 d'un lecteur ; 112, 9 d'un sous-diacre ; 112, 10 des diacres ; 112, 11 d'un archidiacre ; 112, 12 des prêtres , 112, 14 des archiprêtres visitateurs, archimandrites, chorévêques et abbesses ; 112, 15 des év^ques ; 112, 16 d'un patriarche ; 112, 17 intronisation
Litur. 		Rite du baiser de paix pour le dimanche de Pâques						113, 12 (dimanche de Pâques)
Litur.		Rite du baptême 	Liturgie baptismale 					
Litur. 		Rite du baptême pour plusieurs personnes de sexe féminin						186, 2
Litur. 		Rite du baptême pour une personne de sexe féminin 						186, 2
Litur. 		Rite du lavement des pieds pour le jeudi saint 						113, 7
Litur.		Rite du mariage						63, 3 ; 100, 9 ; 103, 4
		Rite du mariage et du couronnement						Paris BnF syr. 434, III
Litur. 		Rite du renouvellement du ferment						183, 2
Litur. 		Rite pour la fête de la sainte croix						163, 8 (pour le 14ème jour du mois de septembre)
Litur. 		Rituel du prêtre	Sacerdotal		d-qashisho / ܛܟܣܐ / ܦܢܩܝܬܐ ܕܟܗܢܐ			70, 1 
Litur. 		Rituel pour la Résurrection et les fêtes de l'été			ܦܢܩܝܬܐ ܩܝܛܝܬܐ			164
Litur. 		Rituel pour les fêtes de l'hiver 			ܦܢܩܝܬܐ ܣܬܘܝܬܐ			157, 2
Litur. 		Rituel pour les offices de la Pentecôte 						162
Litur. 		Rituel pour les offices de la semaine sainte 						160, 2 ; 162
Litur. 		Rituel pour les offices de Pâques						162
Litur. 		Rituel pour les offices du carême 						160, 1
Litur. 		Rituel syro-catholique pour les fêtes de l'hiver 						158
NT		Romains						
		Roman de Julien  l'Apostat 					 Éd. HOFFMAN, 1880 (d'après le BL Add. 14 641); Baumstark, p. 183.	Paris BnF syr. 378, UC C
AT		Sagesse						
		Seconde vie d'Aristote 					Cf. SACHAU, 1899, I, p. 335-336.	Paris BnF syr. 354
Litur. 		Sedre			ܣܕܪܐ			71, 9
		Sermon que l'on récite chaque jour pendant le carême						193, y
AT		Sophonie						
		Sugita sur la Nativité						Paris BnF syr. 428
Litur. 		Sugyoto						180, 6 ; 181, 1
NT / Comm. 		Sur la mort des apôtres						64, 8
AT / Comm. 		Sur la mort des prophètes 						64, 7
		Sur la variété des lectures						Paris BnF syr. 434, II
AT / NT / Comm. 		Sur le nombre de versets bibliques						64, 6
AT / Comm.  		Sur les mots hébreux bibliques 						64, 9 ; 10
		Sur l'état des bons au paradis				ܘܓܘܗ ܡܜܝܗ ܟܫܠܐܥ ܐܠܫܡܣ		194 ; 197
		Sur l'état des pécheurs dans l'enfer				ܘܓܘܗ ܡܥܒܣܗ : ܥܝܘܢ ܡܓܡܜܗ		194 ; 197
		Sur l'excellence de la religion chrétienne						198
AT		Suzanne						
Canon.		Symbole de Nicée		Symbolum nicaenum			CPG 8521	13 n° 10 ; 16 n° 5 ; 24 n° 3,f
Comm.		Targum de Jonathan						12 cf. S. Brock, 'Jewish tradition in syriac cources', Journal of Jewish Studies 30 (1979), 212-32
Apoc. 		Testament de Notre-Seigneur à Pierre 					CANT 202 ; BHO 938.	232, 3
Apoc. 		Testament de Notre-Seigneur aux disciples sur le Mont Olivier  					Cf. GCAL I, p. 241	194, 20 ; 232, 9 (garshuni)
		Texte en gashuni			ܕܘܐ ܠܐܡܪܐܗܿ ܝܓܝܗܐ ܐܠܚܝܛ ܦܝ ܟܠ ܘܩܬ . ܐܡ ܬܕܦܩ ܕܡܐ ܡܬܝܪ	ܟܕ ܘܪܕ ܘܣܡܣܡ ܘܕܩܝܩ ܕܟܢ ܘܕܩ ܘܐܥܟܠ		Paris BnF syr. 423
NT		Tite						
AT		Tobie						
Canon./Litur.		Traité de catéchisme						12, n° 2
		Traité de la confession et de la rémission des péchés, sous forme de dialogue entre un maître et son disciple						216
		Traité de médecine					Cf. BUDGE, 1913,I, p. 1-441 (texte), II, p. 1-519 (trad).	Paris BnF syr. 424-425
		Traité de météorologie						Paris BnF syr. 346
Gramm. 		Traité sur les points 						64, 5 ; 11 ; 12 ; 16
AT. / Comm. 		Traité sur les points et les leçons de la Bible	Massore syriaque 					64, 1 
Litur. 		Traité sur les sacrements 						187, 1 (en malayalam)
Hagio. 		Transitus Mariae					GCAL I, p. 249-251 (pour le garshuni)	196, 77 (extraits) ; 232, 14 (garshuni) ; 233, 1 
Litur.		Trisagion						14
Litur.		Tropaires 			ܛܪܘܦܪܝܢ			20 : ou bien à comprendre comme partie des Odes, à détailler en commentaire ? Et 47 ; aussi 80, 7 ?
Litur.		Typikon 						131, à la fin mais en arabe
		Un martyrologue et douze ménologues syriaques						Paris BnF syr. 385 (grec)
Hagio. 		Vie d'Abraham le Syrien, patriarche d'Alexandrie 						65, 4, en carchouni ; Firenze BML Or. 033, en garshuni
		Vie de Chénouté					Éd. / Trad. NAU, ''Une version syriaque inédite" 7 (1899), p. 356-363 (description) ; 8 (1900), p. 153-167 (texte), 252-265 (trad.) ; BHO 1076.	236, 4 ; Damas
		Vie de Daniel de Scété   					Cf. BROCK, "Syriac Accounts", 2008, p. 181-206.	Add. 12174
		Vie de Nestorius					Éd. / Trad. BRIERE, ROC 15, 1910, p. 1-25. 	Strasbourg syr. 4128
		Vie de Pacôme 					Éd.AMS V, p. 122-176 (d'après Paris BnF syr. 317, BL 14732 et Berlin Sachau 321) ; éd. (du grec) / Trad. (du syriaque)  dans NAU, PO 4, 5, 1907, II,  p. 409-511;  BHO 829.	Paris BnF syr. 236, 5 ; 288
		Vie d'Éphrem le Syrien					Éd. AMS III, p. 621-665 (d'après les mss de Paris) ; SS 147 ; BHO 269 ; 	235, 17 ; Damas
		Vie d'Eusèbe de Samosate   					Éd. AMS VI, p. 335-377 (à partir de Add. 12174) ; BHO 294 ; SS 154.	Add. 12174
		Vision de Théophile sur le séjour de la Vierge en  Égypte					Éd. NAU, ROC 15, 1910, p. 125-132.	Paris BnF syr. 386
AT		Zacharie						
